iter	Passed	Remaining
0	180	17901
1	207	10176
2	225	7275
3	252	6056
4	264	5016
5	286	4486
6	301	4010
7	325	3739
8	348	3528
9	365	3286
10	379	3074
11	423	3109
12	463	3102
13	495	3042
14	527	2989
15	552	2898
16	573	2801
17	603	2749
18	634	2704
19	693	2775
20	720	2712
21	788	2795
22	822	2753
23	876	2774
24	894	2684
25	922	2625
26	957	2588
27	989	2543
28	1008	2469
29	1035	2415
30	1064	2369
31	1090	2316
32	1133	2301
33	1170	2271
34	1194	2217
35	1213	2157
36	1248	2125
37	1277	2083
38	1325	2073
39	1404	2107
40	1442	2076
41	1473	2035
42	1495	1983
43	1522	1937
44	1566	1914
45	1602	1881
46	1627	1834
47	1651	1789
48	1676	1744
49	1699	1699
50	1724	1656
51	1749	1615
52	1776	1575
53	1800	1533
54	1849	1513
55	1885	1481
56	1917	1446
57	1938	1403
58	1961	1362
59	2006	1337
60	2033	1299
61	2058	1261
62	2079	1221
63	2106	1185
64	2127	1145
65	2150	1107
66	2170	1069
67	2190	1030
68	2222	998
69	2266	971
70	2303	940
71	2340	910
72	2366	875
73	2393	840
74	2416	805
75	2451	774
76	2491	744
77	2535	715
78	2571	683
79	2589	647
80	2610	612
81	2632	577
82	2665	545
83	2691	512
84	2716	479
85	2743	446
86	2778	415
87	2802	382
88	2824	349
89	2848	316
90	2878	284
91	2915	253
92	2949	221
93	2986	190
94	3010	158
95	3030	126
96	3058	94
97	3110	63
98	3131	31
99	3159	0
